xpos,ypos,velocity,yaw
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3800,360,0.0,0.0
3801,360,0.0,0.0
3801,360,0.0,0.0
3802,360,0.0,0.0
3802,360,0.0,0.0
3803,360,0.0,0.0
3803,360,0.0,0.0
3804,360,0.0,0.0
3804,360,0.0,0.0
3805,360,0.0,0.0
3805,360,0.0,0.0
3806,360,0.0,0.0
3806,360,0.0,0.0
3807,360,0.0,0.0
3807,360,0.0,0.0
3808,360,0.0,0.0
3808,360,0.0,0.0
3809,360,0.0,0.0
3810,360,0.0,0.0
3811,360,0.0,0.0
3811,360,0.0,0.0
3812,360,0.0,0.0
3813,360,1.0,0.0
3814,360,1.0,0.0
3816,360,1.0,0.0
3817,360,1.0,0.0
3818,360,1.0,0.0
3819,360,1.0,0.0
3820,360,1.0,0.0
3822,360,1.0,0.0
3823,360,1.0,0.0
3824,360,1.0,0.0
3825,360,1.0,0.0
3826,360,1.0,0.0
3827,360,1.0,0.0
3829,360,1.0,0.0
3830,360,1.0,0.0
3831,360,1.0,0.0
3833,360,1.0,0.0
3834,360,1.0,0.0
3835,360,1.0,0.0
3837,360,1.0,0.0
3839,360,1.0,0.0
3840,360,1.0,0.0
3842,360,1.0,0.0
3843,360,1.0,0.0
3845,360,1.0,0.0
3846,360,1.0,0.0
3848,360,1.0,0.0
3849,360,1.0,0.0
3851,360,1.0,0.0
3853,360,1.0,0.0
3855,360,1.0,0.0
