xpos,ypos,velocity,yaw,,yaw,xpos,ypos
867,0,7,0,,12288,3027,360
875,0,7,0,,12288,3035,360
882,0,7,0,,12288,3042,360
889,0,7,0,,12288,3049,360
896,0,7,0,,12288,3056,360
903,0,7,0,,12288,3063,360
911,0,7,0,,12288,3071,360
918,0,7,0,,12288,3078,360
925,0,7,0,,12288,3085,360
932,0,7,0,,12288,3092,360
939,0,7,0,,12288,3099,360
947,0,7,0,,12288,3107,360
954,0,7,0,,12288,3114,360
961,0,7,0,,12288,3121,360
968,0,7,0,,12288,3128,360
976,0,7,0,,12288,3136,360
983,0,7,0,,12288,3143,360
990,0,7,0,,12288,3150,360
997,0,7,0,,12288,3157,360
1005,0,7,0,,12288,3165,360
1012,0,7,0,,12288,3172,360
1019,0,7,0,,12288,3179,360
1027,0,7,0,,12288,3187,360
1034,0,7,0,,12288,3194,360
1041,0,7,0,,12288,3201,360
1049,0,7,0,,12288,3209,360
1056,0,7,0,,12288,3216,360
1063,0,7,0,,12288,3223,360
1071,0,7,0,,12288,3231,360
1078,0,7,0,,12288,3238,360
1086,0,7,0,,12288,3246,360
1093,0,7,0,,12288,3253,360
1100,0,7,0,,12288,3260,360
1108,0,7,0,,12288,3268,360
1115,0,7,0,,12288,3275,360
1123,0,7,0,,12288,3283,360
1130,0,7,0,,12288,3290,360
1137,0,7,0,,12288,3297,360
1145,0,7,0,,12288,3305,360
1152,0,7,0,,12288,3312,360
1160,0,7,0,,12288,3320,360
1167,0,7,0,,12288,3327,360
1175,0,7,0,,12288,3335,360
1182,0,7,0,,12288,3342,360
1190,0,7,0,,12288,3350,360
1197,0,7,0,,12288,3357,360
1205,0,7,0,,12288,3365,360
1212,0,7,0,,12288,3372,360
1220,0,7,0,,12288,3380,360
1227,0,7,0,,12288,3387,360
1235,0,7,0,,12288,3395,360
1242,0,7,0,,12288,3402,360
1250,0,7,0,,12288,3410,360
1257,0,7,0,,12288,3417,360
1265,0,7,0,,12288,3425,360
1272,0,7,0,,12288,3432,360
1280,0,7,0,,12288,3440,360
1288,0,7,0,,12288,3448,360
1295,0,7,0,,12288,3455,360
1303,0,7,0,,12288,3463,360
1310,0,7,0,,12288,3470,360
1318,0,7,0,,12288,3478,360
1325,0,7,0,,12288,3485,360
1333,0,7,0,,12288,3493,360
1340,0,7,0,,12288,3500,360
1348,0,7,0,,12288,3508,360
1355,0,7,0,,12288,3515,360
1362,0,7,0,,12288,3522,360
1370,0,7,0,,12288,3530,360
1377,0,7,0,,12288,3537,360
1384,0,7,0,,12288,3544,360
1392,0,7,0,,12288,3552,360
1399,0,7,0,,12288,3559,360
1406,0,7,0,,12288,3566,360
1414,0,7,0,,12288,3574,360
